Model,Accuracy,Precision,Recall,F1-Score,MCC,Training Time (s)
LightGBM,1.0,1.0,1.0,1.0,1.0,2.76
XGBoost,1.0,1.0,1.0,1.0,1.0,1.11
CatBoost,1.0,1.0,1.0,1.0,1.0,3.51
